NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
INTEGRIN CELL SURFACE INTERACTIONS%REACTOME DATABASE ID RELEASE 81%216083	INTEGRIN CELL SURFACE INTERACTIONS%REACTOME DATABASE ID RELEASE 81%216083	Details ...	34	0.79602253	2.2853584	0.0	0.0	0.0	338	tags=41%, list=3%, signal=42%	
HORMONE METABOLIC PROCESS%GOBP%GO:0042445	HORMONE METABOLIC PROCESS%GOBP%GO:0042445	Details ...	58	0.71267825	2.260989	0.0	0.0	0.0	1810	tags=43%, list=16%, signal=51%	
CELL-CELL COMMUNICATION%REACTOME%R-HSA-1500931.8	CELL-CELL COMMUNICATION%REACTOME%R-HSA-1500931.8	Details ...	96	0.65739286	2.2583904	0.0	0.0	0.0	1450	tags=36%, list=13%, signal=41%	
CELL-CELL ADHESION%GOBP%GO:0098609	CELL-CELL ADHESION%GOBP%GO:0098609	Details ...	196	0.595869	2.2542067	0.0	0.0	0.0	1748	tags=37%, list=15%, signal=43%	
NON-INTEGRIN MEMBRANE-ECM INTERACTIONS%REACTOME DATABASE ID RELEASE 81%3000171	NON-INTEGRIN MEMBRANE-ECM INTERACTIONS%REACTOME DATABASE ID RELEASE 81%3000171	Details ...	35	0.7741136	2.251192	0.0	0.0	0.0	933	tags=54%, list=8%, signal=59%	
HALLMARK_HYPOXIA%MSIGDBHALLMARK%HALLMARK_HYPOXIA	HALLMARK_HYPOXIA%MSIGDBHALLMARK%HALLMARK_HYPOXIA	Details ...	104	0.6366829	2.2289302	0.0	0.0	0.0	1517	tags=38%, list=13%, signal=44%	
DITERPENOID METABOLIC PROCESS%GOBP%GO:0016101	DITERPENOID METABOLIC PROCESS%GOBP%GO:0016101	Details ...	29	0.7960458	2.2037413	0.0	1.8843253E-4	0.001	844	tags=45%, list=7%, signal=48%	
EXTRACELLULAR MATRIX ORGANIZATION%REACTOME%R-HSA-1474244.4	EXTRACELLULAR MATRIX ORGANIZATION%REACTOME%R-HSA-1474244.4	Details ...	157	0.5944791	2.1873734	0.0	1.6487847E-4	0.001	1866	tags=43%, list=16%, signal=50%	
CONNECTIVE TISSUE DEVELOPMENT%GOBP%GO:0061448	CONNECTIVE TISSUE DEVELOPMENT%GOBP%GO:0061448	Details ...	53	0.69832367	2.1813502	0.0	1.4655864E-4	0.001	1401	tags=36%, list=12%, signal=41%	
PROSTAGLANDIN SYNTHESIS AND REGULATION%WIKIPATHWAYS_20240310%WP98%HOMO SAPIENS	PROSTAGLANDIN SYNTHESIS AND REGULATION%WIKIPATHWAYS_20240310%WP98%HOMO SAPIENS	Details ...	20	0.863279	2.1812494	0.0	1.3190278E-4	0.001	817	tags=50%, list=7%, signal=54%	
CELL ADHESION%GOBP%GO:0007155	CELL ADHESION%GOBP%GO:0007155	Details ...	353	0.54494005	2.1791596	0.0	1.19911616E-4	0.001	1770	tags=34%, list=16%, signal=39%	
RETINOID METABOLIC PROCESS%GOBP%GO:0001523	RETINOID METABOLIC PROCESS%GOBP%GO:0001523	Details ...	27	0.8076062	2.1759484	0.0	1.0991898E-4	0.001	844	tags=48%, list=7%, signal=52%	
ALPHA6BETA4INTEGRIN%IOB%ALPHA6BETA4INTEGRIN	ALPHA6BETA4INTEGRIN%IOB%ALPHA6BETA4INTEGRIN	Details ...	44	0.71196383	2.1699245	0.0	1.0146368E-4	0.001	1290	tags=45%, list=11%, signal=51%	
REGULATION OF PEPTIDYL-TYROSINE PHOSPHORYLATION%GOBP%GO:0050730	REGULATION OF PEPTIDYL-TYROSINE PHOSPHORYLATION%GOBP%GO:0050730	Details ...	91	0.6412479	2.163539	0.0	9.4216266E-5	0.001	1748	tags=35%, list=15%, signal=41%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	105	0.6267882	2.162838	0.0	8.793519E-5	0.001	1479	tags=42%, list=13%, signal=48%	
SKIN DEVELOPMENT%GOBP%GO:0043588	SKIN DEVELOPMENT%GOBP%GO:0043588	Details ...	61	0.67531645	2.1595945	0.0	8.2439234E-5	0.001	1127	tags=43%, list=10%, signal=47%	
VACUOLAR TRANSPORT%GOBP%GO:0007034	VACUOLAR TRANSPORT%GOBP%GO:0007034	Details ...	136	0.60502994	2.157862	0.0	7.758987E-5	0.001	2177	tags=40%, list=19%, signal=49%	
NUCLEAR RECEPTORS META PATHWAY%WIKIPATHWAYS_20240310%WP2882%HOMO SAPIENS	NUCLEAR RECEPTORS META PATHWAY%WIKIPATHWAYS_20240310%WP2882%HOMO SAPIENS	Details ...	147	0.5983495	2.1558692	0.0	7.327932E-5	0.001	1430	tags=37%, list=13%, signal=42%	
KERATINOCYTE DIFFERENTIATION%GOBP%GO:0030216	KERATINOCYTE DIFFERENTIATION%GOBP%GO:0030216	Details ...	31	0.78617233	2.154467	0.0	6.942252E-5	0.001	1697	tags=61%, list=15%, signal=72%	
REGULATION OF CELL-MATRIX ADHESION%GOBP%GO:0001952	REGULATION OF CELL-MATRIX ADHESION%GOBP%GO:0001952	Details ...	72	0.65158105	2.1465437	0.0	1.2998162E-4	0.002	1745	tags=40%, list=15%, signal=47%	
POSITIVE REGULATION OF ANGIOGENESIS%GOBP%GO:0045766	POSITIVE REGULATION OF ANGIOGENESIS%GOBP%GO:0045766		78	0.6359357	2.1457891	0.0	1.2379202E-4	0.002	1515	tags=38%, list=13%, signal=44%	
REGULATION OF SMOOTH MUSCLE CELL MIGRATION%GOBP%GO:0014910	REGULATION OF SMOOTH MUSCLE CELL MIGRATION%GOBP%GO:0014910		23	0.8072617	2.1414852	0.0	1.7693787E-4	0.003	1260	tags=61%, list=11%, signal=68%	
UROKINASE-TYPE PLASMINOGEN ACTIVATOR (UPA) AND UPAR-MEDIATED SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%UROKINASE-TYPE PLASMINOGEN ACTIVATOR (UPA) AND UPAR-MEDIATED SIGNALING	UROKINASE-TYPE PLASMINOGEN ACTIVATOR (UPA) AND UPAR-MEDIATED SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%UROKINASE-TYPE PLASMINOGEN ACTIVATOR (UPA) AND UPAR-MEDIATED SIGNALING		22	0.81549585	2.1410494	0.0	1.6924492E-4	0.003	291	tags=41%, list=3%, signal=42%	
REGULATION OF CELL MIGRATION%GOBP%GO:0030334	REGULATION OF CELL MIGRATION%GOBP%GO:0030334		499	0.52525055	2.1404707	0.0	2.151222E-4	0.004	1829	tags=33%, list=16%, signal=38%	
HALLMARK_COAGULATION%MSIGDBHALLMARK%HALLMARK_COAGULATION	HALLMARK_COAGULATION%MSIGDBHALLMARK%HALLMARK_COAGULATION		48	0.70416754	2.1359775	0.0	2.0651732E-4	0.004	917	tags=33%, list=8%, signal=36%	
REGULATION OF DEVELOPMENTAL GROWTH%GOBP%GO:0048638	REGULATION OF DEVELOPMENTAL GROWTH%GOBP%GO:0048638		96	0.6238217	2.1346486	0.0	1.9857436E-4	0.004	1668	tags=34%, list=15%, signal=40%	
