NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	Details ...	157	-0.8071686	-3.0113807	0.0	0.0	0.0	1419	tags=75%, list=12%, signal=84%	
HALLMARK_G2M_CHECKPOINT%MSIGDBHALLMARK%HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT%MSIGDBHALLMARK%HALLMARK_G2M_CHECKPOINT	Details ...	138	-0.75746316	-2.7449179	0.0	0.0	0.0	1294	tags=57%, list=11%, signal=63%	
HALLMARK_MYC_TARGETS_V1%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V1	Details ...	148	-0.7474434	-2.742305	0.0	0.0	0.0	1556	tags=57%, list=14%, signal=66%	
DNA REPLICATION%GOBP%GO:0006260	DNA REPLICATION%GOBP%GO:0006260	Details ...	145	-0.74152446	-2.7156434	0.0	0.0	0.0	1554	tags=52%, list=14%, signal=60%	
PROCESSING OF CAPPED INTRON-CONTAINING PRE-MRNA%REACTOME DATABASE ID RELEASE 81%72203	PROCESSING OF CAPPED INTRON-CONTAINING PRE-MRNA%REACTOME DATABASE ID RELEASE 81%72203	Details ...	274	-0.6685486	-2.6381042	0.0	0.0	0.0	2582	tags=59%, list=23%, signal=75%	
DNA-TEMPLATED DNA REPLICATION%GOBP%GO:0006261	DNA-TEMPLATED DNA REPLICATION%GOBP%GO:0006261	Details ...	120	-0.7260781	-2.6264884	0.0	0.0	0.0	1554	tags=51%, list=14%, signal=58%	
MRNA SPLICING%REACTOME DATABASE ID RELEASE 81%72172	MRNA SPLICING%REACTOME DATABASE ID RELEASE 81%72172	Details ...	210	-0.6818791	-2.6033366	0.0	0.0	0.0	2571	tags=60%, list=23%, signal=77%	
PRE-MRNA SPLICING%REACTOME DATABASE ID RELEASE 81%72163	PRE-MRNA SPLICING%REACTOME DATABASE ID RELEASE 81%72163	Details ...	202	-0.68341386	-2.6027613	0.0	0.0	0.0	2571	tags=61%, list=23%, signal=78%	
RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS%GOBP%GO:0000375	RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS%GOBP%GO:0000375	Details ...	223	-0.6631606	-2.5678594	0.0	0.0	0.0	1893	tags=45%, list=17%, signal=53%	
MRNA SPLICING, VIA SPLICEOSOME%GOBP%GO:0000398	MRNA SPLICING, VIA SPLICEOSOME%GOBP%GO:0000398	Details ...	219	-0.6636799	-2.5581553	0.0	0.0	0.0	1893	tags=45%, list=17%, signal=53%	
